usage_id,category,water_consumption,power_consumption,start_time,end_time,room_id,device_id
375996,toilet_light,,0.00043666666666666664,2026-01-01T08:01:54+00:00,2026-01-01T08:04:05+00:00,1,
375997,water,9.809444686861923,,2026-01-01T08:01:54+00:00,2026-01-01T08:04:05+00:00,1,
375998,toilet_light,,0.00113,2026-01-01T08:13:44+00:00,2026-01-01T08:19:23+00:00,1,
375999,water,5.873883076297311,,2026-01-01T08:13:44+00:00,2026-01-01T08:19:23+00:00,1,
376000,toilet_light,,0.00025,2026-01-01T08:30:12+00:00,2026-01-01T08:31:27+00:00,1,
376001,water,5.396660611462959,,2026-01-01T08:30:12+00:00,2026-01-01T08:31:27+00:00,1,
376002,toilet_light,,0.00113,2026-01-01T13:48:35+00:00,2026-01-01T13:54:14+00:00,1,
376003,water,7.610463529774699,,2026-01-01T13:48:35+00:00,2026-01-01T13:54:14+00:00,1,
376004,toilet_light,,0.0006733333333333333,2026-01-01T17:06:30+00:00,2026-01-01T17:09:52+00:00,1,
376005,water,8.364698934519899,,2026-01-01T17:06:30+00:00,2026-01-01T17:09:52+00:00,1,
376006,toilet_light,,0.0006733333333333333,2026-01-01T21:05:49+00:00,2026-01-01T21:09:11+00:00,1,
376007,water,7.661872794017217,,2026-01-01T21:05:49+00:00,2026-01-01T21:09:11+00:00,1,
376008,toilet_light,,0.0007733333333333333,2026-01-01T21:50:48+00:00,2026-01-01T21:54:40+00:00,1,
376009,water,5.836855094320054,,2026-01-01T21:50:48+00:00,2026-01-01T21:54:40+00:00,1,
376010,water,77.0093208138206,,2026-01-02T07:33:55+00:00,2026-01-02T07:44:04+00:00,1,
376011,toilet_light,,0.0008433333333333333,2026-01-02T07:08:10+00:00,2026-01-02T07:12:23+00:00,1,
376012,water,5.485582350191442,,2026-01-02T07:08:10+00:00,2026-01-02T07:12:23+00:00,1,
376013,toilet_light,,0.0008166666666666666,2026-01-02T10:10:54+00:00,2026-01-02T10:14:59+00:00,1,
376014,water,9.089104684064104,,2026-01-02T10:10:54+00:00,2026-01-02T10:14:59+00:00,1,
376015,toilet_light,,0.00027666666666666665,2026-01-02T10:52:51+00:00,2026-01-02T10:54:14+00:00,1,
376016,water,9.693601112968018,,2026-01-02T10:52:51+00:00,2026-01-02T10:54:14+00:00,1,
376017,toilet_light,,0.0008466666666666667,2026-01-02T12:55:09+00:00,2026-01-02T12:59:23+00:00,1,
376018,water,7.4062160150643415,,2026-01-02T12:55:09+00:00,2026-01-02T12:59:23+00:00,1,
376019,toilet_light,,0.00082,2026-01-02T14:07:08+00:00,2026-01-02T14:11:14+00:00,1,
376020,water,6.072501376394732,,2026-01-02T14:07:08+00:00,2026-01-02T14:11:14+00:00,1,
376021,toilet_light,,0.0006166666666666667,2026-01-02T18:38:59+00:00,2026-01-02T18:42:04+00:00,1,
376022,water,6.141542161555291,,2026-01-02T18:38:59+00:00,2026-01-02T18:42:04+00:00,1,
